time,celltype,growth_mean,inter_mean,n
3.0,wntEGC,0.02724642,0.28462327,431
3.5,CMPN,0.16715911,0.35859188,1256
3.5,IMN,0.16533382,0.35848173,236
3.5,MCG,0.20420349,0.27013132,73
3.5,MSN,0.05892822,0.39851823,2321
3.5,Unknown,0.094938934,0.49350002,9
3.5,VLMC,0.06870699,0.3154158,954
3.5,cckIN,-0.01691911,0.44612303,10
3.5,dpEX,0.13044253,0.29656723,769
3.5,mpEX,0.14817984,0.31992385,1041
3.5,mpIN,0.22678879,0.35458136,9
3.5,nptxEX,0.06425703,0.37397864,1294
3.5,npyIN,0.11960374,0.3360418,72
3.5,ntng1IN,0.23578593,0.36350557,99
3.5,obNBL,0.20782262,0.2720679,4
3.5,rIPC1,0.22345151,0.26293144,48
3.5,rIPC2,0.16763094,0.25630924,71
3.5,rIPC4,0.2582801,0.24592844,19
3.5,reaEGC,0.26705956,0.2535972,132
3.5,ribEGC,0.13699026,0.26317614,39
3.5,scgnIN,0.21900405,0.26346686,3
3.5,sfrpEGC,0.15055531,0.28165385,325
3.5,sstIN,0.13431537,0.3277235,157
3.5,tlNBL,0.17653434,0.31985694,37
3.5,wntEGC,0.17961587,0.28745106,864
4.0,CMPN,0.31021342,0.3811813,848
4.0,IMN,0.3357666,0.4421457,369
4.0,MCG,0.35884175,0.3237663,105
4.0,MSN,0.25115374,0.6174172,1759
4.0,Unknown,0.30974883,0.33653647,40
4.0,VLMC,0.22652766,0.37113202,1384
4.0,cckIN,0.1530481,0.41134447,425
4.0,dpEX,0.25473717,0.3251219,582
4.0,mpEX,0.24658082,0.39171815,874
4.0,mpIN,0.25846627,0.3897388,150
4.0,nptxEX,0.2211684,0.4050894,818
4.0,npyIN,0.27685648,0.41602063,295
4.0,ntng1IN,0.2922538,0.41722003,198
4.0,obNBL,0.20598045,0.47534564,234
4.0,rIPC4,0.42288074,0.30599043,556
4.0,scgnIN,0.30833,0.47415662,194
4.0,sfrpEGC,0.33918512,0.32013386,337
4.0,sstIN,0.2510614,0.40832162,246
4.0,tlNBL,0.33611518,0.35030064,934
4.0,wntEGC,0.3683497,0.31297407,968
