timepoint,x,y,cos,celltype
1.0,0.6797102093696594,-0.2461813390254974,0.8947234591220226,scgnIN
1.0,0.5717358589172363,-0.2458066940307617,-0.9988863647960733,tlNBL
1.0,0.6237607002258301,-0.2507924437522888,-0.9992021590155934,scgnIN
1.0,0.6344515085220337,-0.2437046766281128,-0.7748198968752311,scgnIN
1.0,0.7016302347183228,-0.2466371208429336,-0.005267757554751485,VLMC
1.0,0.5561666488647461,-0.2458681762218475,0.8526535961578838,MSN
1.0,0.6612021923065186,-0.2399055659770965,-0.5842667342887855,scgnIN
1.0,0.5932257175445557,-0.2424858808517456,-0.9934335188483128,scgnIN
1.0,0.7008453607559204,-0.2410838752985,-0.7293032923717498,VLMC
1.0,0.6488080620765686,-0.2404235303401947,0.8617031696637012,scgnIN
1.0,0.6275519132614136,-0.2654695212841034,-0.9713958220721017,scgnIN
1.0,0.5917870402336121,-0.2417218089103698,-0.9146649917270194,scgnIN
1.0,0.5827994346618652,-0.253664880990982,-0.8304161501547742,scgnIN
1.0,0.7059207558631897,-0.2479445338249206,0.07879464688129766,obNBL
1.0,0.5909205079078674,-0.2529252469539642,-0.8950286398181089,tlNBL
1.0,0.6230982542037964,-0.2595491409301758,-0.05560326692148306,MSN
1.0,0.5712662935256958,-0.2508412003517151,-0.5214616215239823,tlNBL
1.0,0.6314377188682556,-0.2514683902263641,-0.992279993278883,MSN
1.0,0.6031129360198975,-0.2513720393180847,-0.8476766988397443,tlNBL
1.0,0.6181288361549377,-0.2431625425815582,-0.886622194626272,scgnIN
1.0,0.6650200486183167,-0.2721671462059021,-0.9999936321772082,cckIN
1.0,0.6276218891143799,-0.2592337131500244,-0.6063741497109277,scgnIN
1.0,0.5519464612007141,-0.2632089257240295,0.9978033687460951,tlNBL
1.0,0.5599266290664673,-0.2628596127033233,0.00486149359240223,tlNBL
1.0,0.5516754388809204,-0.2428106516599655,0.1712208142658265,sfrpEGC
1.0,0.62540203332901,-0.2540828585624695,-0.5901250943543964,scgnIN
1.0,0.5821651816368103,-0.2567202746868133,-0.5843800821340838,scgnIN
1.0,0.6691216230392456,-0.2456859201192855,-0.5301606681841261,scgnIN
1.0,0.6275399923324585,-0.2640960812568664,-0.9982261883656519,scgnIN
1.0,0.6056673526763916,-0.2744912505149841,-0.32313047063386463,scgnIN
1.0,0.6836004853248596,-0.28145831823349,0.9565911278205907,obNBL
1.0,0.6494075059890747,-0.2710679471492767,-0.34605146226312816,MSN
1.0,0.5638468861579895,-0.2427372336387634,-0.8207911808168693,tlNBL
1.0,0.6097200512886047,-0.2596796452999115,-0.8011054948190629,MSN
1.0,0.5250232815742493,-0.2455098032951355,-0.6103996371955536,sfrpEGC
1.0,0.6559514999389648,-0.2687509059906006,-0.8749377451988686,MSN
1.0,0.6404865980148315,-0.2709448337554931,-0.9931271395291736,scgnIN
1.0,0.5443189144134521,-0.2517483830451965,0.5331318904596134,sfrpEGC
1.0,0.5876402854919434,-0.2611352801322937,-0.9977012201282737,MSN
1.0,0.5707721710205078,-0.2752214968204498,0.9966271809801641,tlNBL
1.0,0.6840907335281372,-0.2823061645030975,0.8776094078903149,VLMC
1.0,0.56890469789505,-0.2664913833141327,-0.1666740258467561,tlNBL
1.0,0.5480775833129883,-0.2805588841438293,0.9999045269375931,tlNBL
1.0,0.6171269416809082,-0.27005136013031,-0.8401183544445433,scgnIN
1.0,0.6315068602561951,-0.2533604800701141,-0.8587134284449328,scgnIN
1.0,0.6776292324066162,-0.317351222038269,-0.38001486738513607,VLMC
1.0,0.6439092755317688,-0.2610462307929992,0.1520093036855242,scgnIN
1.0,0.6598489880561829,-0.2902356088161468,-0.7572653521838951,scgnIN
1.0,0.7070624828338623,-0.3180840611457824,0.621944608267817,VLMC
1.0,0.5979496240615845,-0.2689303755760193,-0.761049445691805,scgnIN
1.0,0.5315206050872803,-0.2674502432346344,0.9833830116380595,sfrpEGC
1.0,0.6368191838264465,-0.2713914811611175,-0.9989438369554403,scgnIN
1.0,0.6840597987174988,-0.2918077111244201,-0.8525117100166936,scgnIN
1.0,0.6510233879089355,-0.2901996374130249,0.8510152417270392,scgnIN
1.0,0.6049156188964844,-0.2820049524307251,-0.7189873068554775,scgnIN
1.0,0.506916880607605,-0.2430367171764373,0.9794136578713997,VLMC
1.0,0.50447678565979,-0.2605595588684082,0.9543269177901618,VLMC
1.0,0.66989666223526,-0.2829218506813049,0.9976184727548735,scgnIN
1.0,0.602769136428833,-0.2880327105522156,-0.9444100404412629,scgnIN
1.0,0.5981112718582153,-0.2625161111354828,-0.964852572519817,tlNBL
1.0,0.6208164691925049,-0.2973833084106445,-0.9953348350016746,scgnIN
1.0,0.5611004829406738,-0.277269959449768,0.8716844778836313,tlNBL
1.0,0.6740325689315796,-0.2832996547222137,-0.9243902126179978,scgnIN
1.0,0.5939188003540039,-0.2769433557987213,-0.6900933692506777,tlNBL
1.0,0.6167795658111572,-0.2870466411113739,-0.29338293936195964,scgnIN
1.0,0.6294516324996948,-0.3000792264938354,0.8005719411531067,scgnIN
1.0,0.4960509836673736,-0.2829918265342712,0.022449213674370496,VLMC
1.0,0.4624592065811157,-0.2421111315488815,-0.01798322571595765,wntEGC
1.0,0.5352005958557129,-0.274907648563385,0.8276747330629883,sfrpEGC
1.0,0.5364891886711121,-0.2715402543544769,0.9625589364426714,sfrpEGC
