x,y,annotation,total_raw
-1.0006591,0.99440825,Muscle,0.0004104398933796
0.5261132,2.2417734,Cartilage primordium,0.0006583575051392
1.1841812,1.9884986,Cavity,0.0008112271263583
-0.3459302,1.5612494,Liver,5.878913334551151e-05
-0.7701093,2.5079272,Meninges,0.0016867009332845
0.7794112,1.3406914,Muscle,0.0004104398933796
0.93411434,1.0693543,Cavity,0.0008112271263583
0.65435654,0.3989401,Cavity,0.0008112271263583
-0.25756148,1.3975576,Liver,5.878913334551151e-05
-0.59110236,2.37544,Jaw and tooth,0.0010585365113058
-0.025579404,0.21116409,Epidermis,0.0011758541459524
0.57691514,0.54037344,Epidermis,0.0011758541459524
0.4492504,0.92413265,Connective tissue,0.0005295658000595
-0.08337289,3.0459034,Brain,0.0001012284220473
-0.29249254,1.1270977,GI tract,0.0007179822187211
0.67502296,2.9774034,Meninges,0.0016867009332845
0.58239466,1.8478488,Sympathetic nerve,0.0001847403595518
0.58239466,1.8478488,Sympathetic nerve,0.0001847403595518
-0.09570736,1.6840684,Heart,0.0007755651592048
-0.09570736,1.6840684,Heart,0.0007755651592048
0.13930635,1.3117541,Liver,5.878913334551151e-05
-0.08465105,3.6667595,Brain,0.0001012284220473
-0.3703687,2.012541,Epidermis,0.0011758541459524
-0.051682808,2.468747,Brain,0.0001012284220473
0.761719,1.6869504,Cartilage primordium,0.0006583575051392
1.025906,1.4750855,Connective tissue,0.0005295658000595
-0.5950955,2.3339877,Jaw and tooth,0.0010585365113058
-0.008990064,0.85378367,GI tract,0.0007179822187211
-0.008990064,0.85378367,GI tract,0.0007179822187211
0.43304715,2.9907832,Brain,0.0001012284220473
0.43304715,2.9907832,Brain,0.0001012284220473
0.9014656,1.4279023,Connective tissue,0.0005295658000595
0.9014656,1.4279023,Connective tissue,0.0005295658000595
-0.8272169,2.6752014,Brain,0.0001012284220473
-0.7602288,2.989743,Brain,0.0001012284220473
-0.7602288,2.989743,Brain,0.0001012284220473
1.0207407,1.9356277,Cavity,0.0008112271263583
0.96719,1.8291203,Cartilage primordium,0.0006583575051392
0.433548,1.5784663,Heart,0.0007755651592048
0.46697322,1.5540378,Cavity,0.0008112271263583
0.6425253,1.8550805,Sympathetic nerve,0.0001847403595518
-0.99430746,2.7869897,Brain,0.0001012284220473
-0.99430746,2.7869897,Brain,0.0001012284220473
0.8047916,0.88863015,Connective tissue,0.0005295658000595
-0.67857116,2.1501338,Jaw and tooth,0.0010585365113058
0.71101457,0.87030447,Connective tissue,0.0005295658000595
-0.22269946,0.6770628,Cavity,0.0008112271263583
-0.22269946,0.6770628,Cavity,0.0008112271263583
0.08430041,2.8860857,Brain,0.0001012284220473
-0.805557,2.3135846,Jaw and tooth,0.0010585365113058
0.4608462,3.224689,Brain,0.0001012284220473
0.4608462,3.224689,Brain,0.0001012284220473
0.90335816,1.7190397,Cartilage primordium,0.0006583575051392
0.90335816,1.7190397,Cartilage primordium,0.0006583575051392
-0.6478572,2.3697352,Jaw and tooth,0.0010585365113058
0.3966123,0.37370792,Epidermis,0.0011758541459524
0.21770564,1.6351312,Heart,0.0007755651592048
0.21770564,1.6351312,Heart,0.0007755651592048
-0.9859007,2.3316207,Cavity,0.0008112271263583
0.5709242,3.08114,Meninges,0.0016867009332845
0.7584737,0.8189471,Cavity,0.0008112271263583
-0.35074064,1.0513699,GI tract,0.0007179822187211
-0.5843115,2.8760893,Brain,0.0001012284220473
-1.0232738,2.8950672,Brain,0.0001012284220473
0.8358067,2.951498,Cavity,0.0008112271263583
-0.6826623,2.900832,Brain,0.0001012284220473
1.1260669,1.7036651,Cavity,0.0008112271263583
0.6668735,2.5531502,Meninges,0.0016867009332845
0.6668735,2.5531502,Meninges,0.0016867009332845
-0.5982621,2.7641842,Brain,0.0001012284220473
-0.5982621,2.7641842,Brain,0.0001012284220473
1.0282508,2.4570014,Meninges,0.0016867009332845
-0.82308334,1.9148554,Jaw and tooth,0.0010585365113058
-0.71264935,0.95442563,Connective tissue,0.0005295658000595
-0.71264935,0.95442563,Connective tissue,0.0005295658000595
0.66877383,1.5373446,Muscle,0.0004104398933796
0.077447526,2.6056037,Brain,0.0001012284220473
0.077447526,2.6056037,Brain,0.0001012284220473
-0.47704905,3.017805,Brain,0.0001012284220473
-0.47704905,3.017805,Brain,0.0001012284220473
-0.48852122,3.0848994,Brain,0.0001012284220473
0.93258274,1.2669326,Muscle,0.0004104398933796
0.97925836,1.4355333,Connective tissue,0.0005295658000595
0.5592495,0.6969762,Muscle,0.0004104398933796
0.5592495,0.6969762,Muscle,0.0004104398933796
0.097563766,2.7732139,Brain,0.0001012284220473
0.097563766,2.7732139,Brain,0.0001012284220473
-0.67313206,1.9122622,Jaw and tooth,0.0010585365113058
-0.40115285,3.1127992,Brain,0.0001012284220473
0.37161675,2.7927248,Brain,0.0001012284220473
