x,y,annotation,total_raw
587.6429062797371,-316.8005795801696,Cavity,0.045081611754266
586.7768808759527,-316.3005795801696,Cavity,0.045081611754266
585.9108554721682,-315.8005795801696,Brain,0.0246633292937235
585.0448300683838,-315.3005795801696,Brain,0.0246633292937235
584.1788046645993,-314.8005795801696,Brain,0.0246633292937235
583.312779260815,-314.3005795801696,Brain,0.0246633292937235
582.4467538570304,-313.8005795801696,Brain,0.0246633292937235
581.580728453246,-313.3005795801696,Brain,0.0246633292937235
580.7147030494616,-312.8005795801696,Brain,0.0246633292937235
579.8486776456772,-312.3005795801696,Meninges,0.0764704281805392
578.9826522418928,-311.8005795801696,Meninges,0.0764704281805392
578.1166268381082,-311.3005795801696,Meninges,0.0764704281805392
577.2506014343238,-310.8005795801696,Meninges,0.0764704281805392
576.3845760305394,-310.3005795801696,Meninges,0.0764704281805392
575.518550626755,-309.8005795801696,Brain,0.0246633292937235
574.6525252229706,-309.3005795801696,Brain,0.0246633292937235
573.7864998191861,-308.8005795801696,Brain,0.0246633292937235
572.9204744154017,-308.3005795801696,Brain,0.0246633292937235
572.0544490116172,-307.8005795801696,Brain,0.0246633292937235
571.1884236078328,-307.3005795801696,Brain,0.0246633292937235
570.3223982040483,-306.8005795801696,Brain,0.0246633292937235
569.4563728002639,-306.3005795801696,Brain,0.0246633292937235
568.5903473964795,-305.8005795801696,Brain,0.0246633292937235
567.724321992695,-305.3005795801696,Brain,0.0246633292937235
566.8582965889105,-304.8005795801696,Brain,0.0246633292937235
565.9922711851261,-304.3005795801696,Brain,0.0246633292937235
565.1262457813417,-303.8005795801696,Brain,0.0246633292937235
564.2602203775573,-303.3005795801696,Brain,0.0246633292937235
563.3941949737729,-302.8005795801696,Brain,0.0246633292937235
562.5281695699884,-302.3005795801696,Brain,0.0246633292937235
561.6621441662039,-301.8005795801696,Brain,0.0246633292937235
560.7961187624195,-301.3005795801696,Brain,0.0246633292937235
559.9300933586351,-300.8005795801696,Brain,0.0246633292937235
559.0640679548507,-300.3005795801696,Brain,0.0246633292937235
558.1980425510662,-299.8005795801696,Brain,0.0246633292937235
557.3320171472817,-299.3005795801696,Brain,0.0246633292937235
556.4659917434973,-298.8005795801696,Brain,0.0246633292937235
555.5999663397129,-298.3005795801696,Brain,0.0246633292937235
554.7339409359284,-297.8005795801696,Brain,0.0246633292937235
553.867915532144,-297.3005795801696,Brain,0.0246633292937235
553.0018901283596,-296.8005795801696,Brain,0.0246633292937235
552.1358647245752,-296.3005795801696,Brain,0.0246633292937235
551.2698393207907,-295.8005795801696,Brain,0.0246633292937235
550.4038139170062,-295.3005795801696,Brain,0.0246633292937235
549.5377885132218,-294.8005795801696,Brain,0.0246633292937235
548.6717631094374,-294.3005795801696,Brain,0.0246633292937235
547.805737705653,-293.8005795801696,Brain,0.0246633292937235
546.9397123018684,-293.3005795801696,Brain,0.0246633292937235
546.073686898084,-292.8005795801696,Brain,0.0246633292937235
545.2076614942996,-292.3005795801696,Brain,0.0246633292937235
544.3416360905152,-291.8005795801696,Brain,0.0246633292937235
543.4756106867308,-291.3005795801696,Brain,0.0246633292937235
542.6095852829463,-290.8005795801696,Brain,0.0246633292937235
541.7435598791619,-290.3005795801696,Brain,0.0246633292937235
540.8775344753774,-289.8005795801696,Brain,0.0246633292937235
540.011509071593,-289.3005795801696,Brain,0.0246633292937235
539.1454836678085,-288.8005795801696,Brain,0.0246633292937235
538.2794582640241,-288.3005795801696,Brain,0.0246633292937235
537.4134328602397,-287.8005795801696,Brain,0.0246633292937235
536.5474074564552,-287.3005795801696,Brain,0.0246633292937235
535.6813820526708,-286.8005795801696,Brain,0.0246633292937235
534.8153566488863,-286.3005795801696,Brain,0.0246633292937235
533.9493312451019,-285.8005795801696,Brain,0.0246633292937235
533.0833058413175,-285.3005795801696,Brain,0.0246633292937235
532.2172804375331,-284.8005795801696,Brain,0.0246633292937235
531.3512550337487,-284.3005795801696,Brain,0.0246633292937235
530.4852296299641,-283.8005795801696,Brain,0.0246633292937235
