time,growth,interaction,celltype
0.0,-0.059043884,0.732943,tlNBL
0.0,0.06867982,0.48598132,CMPN
0.0,0.021775812,0.24592844,wntEGC
0.0,-0.0024479888,0.24592844,tlNBL
0.0,-0.039573323,0.24592844,mpEX
0.0,-0.06365477,0.24592844,wntEGC
0.0,-0.0006008763,0.24592844,wntEGC
0.0,-0.017488092,0.79691476,obNBL
0.0,-0.060202442,1.1647297,scgnIN
0.0,-0.05732543,0.31958035,mpEX
0.0,-0.076599844,0.24592844,VLMC
0.0,-0.003681236,0.43902186,CMPN
0.0,-0.0237958,0.78542584,obNBL
0.0,0.0026644673,0.24592844,wntEGC
0.0,-0.004847545,0.24592844,MSN
0.0,-0.004667471,0.24592844,dpEX
0.0,-0.07707719,0.24592844,sstIN
0.0,-0.109256715,0.3534848,mpEX
0.0,0.072316274,0.24592844,CMPN
0.0,0.038081937,0.45428413,CMPN
0.0,0.009202402,0.24592844,VLMC
0.0,0.00028652512,0.24592844,nptxEX
0.0,-0.05891699,0.6384833,VLMC
0.0,-0.044561945,1.1620584,obNBL
0.0,-0.0068087215,0.24592844,ribEGC
0.0,-0.049462765,0.92416877,scgnIN
0.0,0.025534566,0.24592844,wntEGC
0.0,-0.08941353,0.24592844,wntEGC
0.0,-0.029171437,0.6836265,scgnIN
0.0,-0.04224071,0.24592844,reaEGC
0.0,0.030286122,0.38139686,dpEX
0.0,-0.06581441,0.8383727,scgnIN
0.0,0.059895046,0.76426935,obNBL
0.0,-0.10571952,0.24592844,mpEX
0.0,0.014128916,0.24592844,sfrpEGC
0.0,-0.010072701,0.24592844,wntEGC
0.0,-0.0075715333,0.24592844,VLMC
0.0,-0.14144143,1.0213889,scgnIN
0.0,-0.08578621,1.5942793,VLMC
0.0,-0.030151192,0.24592844,wntEGC
0.0,-0.0024545118,0.46472827,sstIN
0.0,-0.03414183,0.7363489,obNBL
0.0,-0.011865447,0.8889019,tlNBL
0.0,-0.056981586,0.24592844,MSN
0.0,-0.051080484,1.0272812,Oligo
0.0,0.016114641,0.24592844,dpEX
0.0,0.11843456,0.43050727,CMPN
0.0,-0.009467569,0.39760008,tlNBL
0.0,-0.033369966,0.24592844,WSN
0.0,-0.082107835,0.24592844,mpEX
0.0,-0.01727625,0.80235124,obNBL
0.0,0.014853042,0.24592844,nptxEX
0.0,-0.03206782,0.24592844,CMPN
0.0,-0.0997041,1.0033795,scgnIN
0.0,-0.03830789,0.24592844,MSN
0.0,0.026563356,0.30853093,mpEX
0.0,0.00484892,0.24592844,CMPN
0.0,0.0066186152,0.24592844,CMPN
0.0,-0.04643192,0.32771072,CMPN
0.0,-0.029135395,0.390234,dpEX
0.0,-0.019208988,0.42707175,CMPN
0.0,-0.083302885,1.1927483,MSN
0.0,0.06391878,0.4891288,VLMC
0.0,0.007930832,0.24592844,scgnIN
0.0,-0.010656904,0.24592844,sstIN
0.0,-0.057502814,0.24592844,MSN
0.0,-0.086459294,0.24592844,mpEX
0.0,0.010275824,0.24592844,VLMC
0.0,-0.013880635,0.31370834,nptxEX
0.0,-0.034194954,0.2767172,sstIN
0.0,-0.05454221,0.38625357,nptxEX
0.0,-0.036536295,0.75907624,obNBL
0.0,0.022788487,2.1503172,VLMC
0.0,-0.021607665,0.24592844,dpEX
0.0,-0.05156534,0.6277992,dpEX
0.0,-0.013673,0.24592844,sfrpEGC
0.0,0.030124472,0.2980688,CMPN
0.0,-0.0048766937,0.35774112,sfrpEGC
0.0,0.026829628,0.60131615,CMPN
0.0,0.005943285,0.24592844,MCG
0.0,-0.07709944,0.24592844,scgnIN
0.0,-0.09086233,0.648267,obNBL
0.0,0.0440208,0.34248525,VLMC
0.0,-0.032562643,0.24592844,wntEGC
0.0,-0.0219305,0.7977972,obNBL
0.0,0.032735452,0.24592844,VLMC
0.0,-0.061922602,0.7396833,obNBL
0.0,-0.07154016,0.24592844,obNBL
0.0,0.02275233,0.24592844,nptxEX
0.0,-0.011308834,0.7249293,nptxEX
0.0,6.651878e-05,0.32216904,mpIN
0.0,-0.010672335,0.8407887,obNBL
0.0,0.0120902285,0.24592844,VLMC
0.0,-0.10516745,0.24592844,MSN
0.0,0.022850048,0.24592844,VLMC
0.0,0.027980916,0.24592844,nptxEX
0.0,0.016309854,0.24592844,WSN
0.0,0.11932172,0.24592844,CMPN
0.0,-0.024501609,0.91689104,scgnIN
0.0,0.016551295,0.24592844,scgnIN
0.0,0.10033677,0.37510994,tlNBL
0.0,-0.019262163,0.86286104,obNBL
0.0,-0.023995975,0.85962296,MSN
0.0,-0.110295124,0.24592844,MSN
0.0,-0.103752315,0.24592844,sstIN
0.0,0.054514073,1.9275858,CMPN
0.0,-0.037558697,1.3828356,nptxEX
0.0,-0.00892419,0.53627986,Oligo
