timepoint,x,y,cos,celltype
1.0,0.6797102093696594,-0.2461813390254974,0.9555006354366403,scgnIN
1.0,0.5717358589172363,-0.2458066940307617,-0.950758120252204,tlNBL
1.0,0.6237607002258301,-0.2507924437522888,-0.8270435155392826,scgnIN
1.0,0.6344515085220337,-0.2437046766281128,-0.8867240033209697,scgnIN
1.0,0.7016302347183228,-0.2466371208429336,0.9997632687163568,VLMC
1.0,0.5561666488647461,-0.2458681762218475,0.9045428580354303,MSN
1.0,0.6612021923065186,-0.2399055659770965,-0.9669751484058892,scgnIN
1.0,0.5932257175445557,-0.2424858808517456,-0.5681522120907503,scgnIN
1.0,0.7008453607559204,-0.2410838752985,0.8576213900843883,VLMC
1.0,0.6488080620765686,-0.2404235303401947,0.9791972874055392,scgnIN
1.0,0.6275519132614136,-0.2654695212841034,-0.019494754257012394,scgnIN
1.0,0.5917870402336121,-0.2417218089103698,-0.9724074821142601,scgnIN
1.0,0.5827994346618652,-0.253664880990982,-0.7280542292494067,scgnIN
1.0,0.7059207558631897,-0.2479445338249206,0.740694684480176,obNBL
1.0,0.5909205079078674,-0.2529252469539642,0.42418784228435014,tlNBL
1.0,0.6230982542037964,-0.2595491409301758,-0.7783962590136174,MSN
1.0,0.5712662935256958,-0.2508412003517151,0.9951810145732258,tlNBL
1.0,0.6314377188682556,-0.2514683902263641,-0.9954190309380704,MSN
1.0,0.6031129360198975,-0.2513720393180847,-0.8210964296699197,tlNBL
1.0,0.6181288361549377,-0.2431625425815582,-0.9998864944105144,scgnIN
1.0,0.6650200486183167,-0.2721671462059021,-0.9735480157100864,cckIN
1.0,0.6276218891143799,-0.2592337131500244,-0.8313599592234845,scgnIN
1.0,0.5519464612007141,-0.2632089257240295,0.9782573697591483,tlNBL
1.0,0.5599266290664673,-0.2628596127033233,0.8213324671763271,tlNBL
1.0,0.5516754388809204,-0.2428106516599655,0.7805479085601849,sfrpEGC
1.0,0.62540203332901,-0.2540828585624695,-0.9782983185364177,scgnIN
1.0,0.5821651816368103,-0.2567202746868133,-0.9988654689395927,scgnIN
1.0,0.6691216230392456,-0.2456859201192855,0.9932436066949996,scgnIN
1.0,0.6275399923324585,-0.2640960812568664,0.8470511538467734,scgnIN
1.0,0.6056673526763916,-0.2744912505149841,-0.9999542280533297,scgnIN
1.0,0.6836004853248596,-0.28145831823349,0.9361885296356615,obNBL
1.0,0.6494075059890747,-0.2710679471492767,-0.6166132080735592,MSN
1.0,0.5638468861579895,-0.2427372336387634,0.3233491821117381,tlNBL
1.0,0.6097200512886047,-0.2596796452999115,-0.39059098392029873,MSN
1.0,0.5250232815742493,-0.2455098032951355,0.1494348272149196,sfrpEGC
1.0,0.6559514999389648,-0.2687509059906006,-0.9853725337313772,MSN
1.0,0.6404865980148315,-0.2709448337554931,0.9921344328458128,scgnIN
1.0,0.5443189144134521,-0.2517483830451965,-0.08883408166007398,sfrpEGC
1.0,0.5876402854919434,-0.2611352801322937,-0.13462901886265524,MSN
1.0,0.5707721710205078,-0.2752214968204498,0.325879451710241,tlNBL
1.0,0.6840907335281372,-0.2823061645030975,0.9011918594746762,VLMC
1.0,0.56890469789505,-0.2664913833141327,-0.5254083183082474,tlNBL
1.0,0.5480775833129883,-0.2805588841438293,0.9978193874184861,tlNBL
1.0,0.6171269416809082,-0.27005136013031,-0.41875619156009175,scgnIN
1.0,0.6315068602561951,-0.2533604800701141,-0.9994451005067392,scgnIN
1.0,0.6776292324066162,-0.317351222038269,0.8781106991847347,VLMC
1.0,0.6439092755317688,-0.2610462307929992,-0.9478386077438579,scgnIN
1.0,0.6598489880561829,-0.2902356088161468,0.8121224690563026,scgnIN
1.0,0.7070624828338623,-0.3180840611457824,0.90527088213135,VLMC
1.0,0.5979496240615845,-0.2689303755760193,-0.8933113720193102,scgnIN
1.0,0.5315206050872803,-0.2674502432346344,0.8826442174547164,sfrpEGC
