panel,n_cells,raw_min,raw_max,norm_min,norm_max
E12.5,51365,0.0,0.2206357815361706,0.0,1.0
t=0.5,62552,5.878913334551151e-05,0.0016867009332845,0.0,1.0
E13.5,77369,5.034137409128804e-05,0.0373579006002756,0.0,1.0
